"Incident","Location","Reported","Occurred","Comments","Disposition","ID","report_date","lat","long"
"Information / Theft","1228 E. 53rd St., Chicago, IL","1/2/24 7:07 AM","1/2/24 7:00 AM","An unknown subject took merchandise from the off-campus store without paying / Referred to CPD","Referred","2024-000142","1/2/24",41.7995160287664,-87.5961496388094
"Information / Theft","5400 S. Cornell, Chicago, IL","1/2/24 7:29 AM","1/2/24 4:30 AM to 6:00 AM","Three bicycles taken from basement storage area of off-campus private apartment building / Referred to CPD","Referred","2024-000146","1/2/24",41.7980666197498,-87.5855584235657
"Theft","1156 E. 61st St., Chicago, IL","1/2/24 3:55 PM","12/7/23 to 1/2/24 1:00 PM to 3:00 PM","Unsecured bicycle taken from bike rack","Open","24-00007","1/2/24",41.7842079080024,-87.5974473998393
"Information / Theft","850 E. 63rd St., Chicago, IL","1/3/24 10:01 AM","1/3/24 9:10 AM","Victim pumping gas when an unknown suspect opened the car door and took victim's purse before fleeing to a waiting vehicle / CPD case JH102796","CPD","2024-000289","1/3/24",41.7804908425563,-87.6042332705362
"Theft","1554 E. 55th St., Chicago, IL","1/3/24 1:19 PM","1/3/24 1:19 PM","A subject took merchandise from the off-campus store without paying / The suspect was located and detained by UCPD officer / The merchandise was returned to the store / Management declined prosecution","Ex. Cleared","24-00008","1/3/24",41.7952934540188,-87.588744563006
"Information / Attempt Theft","3745 S. Ellis, Chicago, IL","1/3/24 3:04 PM","1/3/24 3:00 PM","Two unknown suspects took power tools from victim's vehicle, but fled without property when confronted by victim / Referred to CPD","Referred","2024-000321","1/3/24",41.8272667244945,-87.6069133278281
"Information / Theft from Motor Vehicle","1350 E. Madison Park, Chicago, IL","1/4/24 7:55 PM","1/3/24 to 1/4/24 3:30 PM to 8:10 AM","Catalytic converter taken from vehicle parked on the street off-campus / Referred to CPD","Referred","2024-000514","1/4/24",41.8032542706753,-87.5954540635799
"Information / Armed Robbery","5415 S. Dorchester, Chicago, IL","1/5/24 1:07 PM","1/5/24 1:00 PM","Two unknown suspects, armed with handguns, took a book bag from a victim walking on the sidewalk off-campus before fleeing to a waiting grey vehicle / CPD case","CPD","2024-000620","1/5/24",41.797590636255,-87.591662711017
"Theft","5700 S. Maryland, Chicago, IL","1/5/24 8:19 PM","1/5/24 8:15 PM","A person consumed food in the caf� without paying / Suspect detained and released after management declined prosecution","Ex. Cleared","24-00013","1/5/24",41.7903992008143,-87.6050172122317
"Information / Theft","1554 E. 55th St., Chicago, IL","1/6/24 11:39 AM","1/6/24 11:20 AM","An unknown subject took merchandise from the off-campus store without paying / Referred to CPD","Referred","2024-000760","1/6/24",41.7952934540188,-87.588744563006
"Assault","5428 S. Lake Park, Chicago, IL","1/6/24 2:36 PM","1/6/24 2:20 PM","A customer caused a disturbance and threatened employees and another customer placing them in fear for their safety / Suspect arrested by UCPD officers","Arrest","24-00016","1/6/24",41.7976044411251,-87.5873355752205
"Information / Armed Robbery","1305 E. 50th St., Chicago, IL","1/6/24 11:20 PM","1/6/24 10:45 PM","Four unknown suspects armed with handguns took property from two people walking on the sidewalk off-campus / Suspects fled to a waiting red Mazda and drove off / CPD case JH107204","CPD","2024-000838","1/6/24",41.8041510835699,-87.5940952673027
"Information / Attempt Armed Robbery","5421 S. Woodlawn, Chicago, IL","1/6/24 11:45 PM","1/6/24 11:43 PM","Two victims walking on the sidewalk off-campus were confronted by two unknown suspects, one armed with a handgun / Suspects searched victims but did not take any property / Suspects fled on foot / Referred to CPD","Referred","2024-000843","1/6/24",41.7971349636951,-87.5965144563598
"Information / Armed Robbery","5400S. Ingleside, Chicago, IL","1/7/24 12:19 AM","1/7/24 12:10 AM","Person walking off-campus was approached by 4-5 unknown suspects armed with handguns / The suspects took property from the victim before fleeing to a waiting white minivan / CPD case JH187251","CPD","2024-000849","1/7/24",41.7978595440567,-87.6028698106176
"Information / Theft","5339 S. Ellis, Chicago, IL","1/7/24 3:15 PM","1/6/24 to 1/7/24 7:00 PM to 2:15 PM","License plate taken from a vehicle parked on the street off-campus / Referred to CPD","Referred","2024-000903","1/7/24",41.7988223404255,-87.6012136085721
"Information / Motor Vehicle Theft","1371 E. 50th St., Chicago, IL","1/8/24 12:14 PM","1/8/2024  12:00 PM to 12: 10 pm","2014 Hyundai Elantra parked on the street off-campus was taken by unknown person(s) / Referred to CPD","Referred","2024-001020","1/8/24",41.8041698613002,-87.592427029914
"Information / Theft","6200 S. Dorchester, Chicago, IL","1/8/24 12:45 PM","1/3/24 to 1/6/24 9:00 AM to 12:00 PM","Secured bicycle taken from rear porch of off-campus private apartment building / Referred to CPD","Referred","2024-001025","1/8/24",41.782325807033,-87.5914671622515
"Theft","5700 S. Maryland, Chicago, IL","1/8/24 3:54 PM","1/8/24 3:54 PM","Suspect took cash from victim / Suspect located and detained by UCPD officers / Victim declined prosecution","Ex. Cleared","24-00021","1/8/24",41.7903992008143,-87.6050172122317
"Theft","1155 E. 57th St., Chicago, IL","1/9/24 10:12 AM","1/5/24 to 1/8/24 8:00 PM to 3:00 PM","24-prepared portions of food taken from the kitchen / Subsequent to follow up investigation no theft occurred / Loss attributed to inventory error","Unfounded","24-00023","1/9/24",41.7913718637997,-87.5978400519048
"Information / Theft from Motor Vehicle","6104 S. Woodlawn, Chicago, IL","1/11/24 11:19 AM","1/10/24 to 1/11/24 2:00 PM to 11:15 AM","Tire taken from vehicle parked on the street off-campus / CPD case","CPD","2024-001439","1/11/24",41.7840379142444,-87.596361415457
"Information / Theft from Person","1606 E. Hyde Park, Chicago, IL","1/11/24 3:59 PM","1/11/24 3:55 PM","Unknown suspect snatched a cell phone from the hand of a person standing at a bus stop off-campus / Suspect fled to a waiting white vehicle / Referred to CPD","Referred","2024-001463","1/11/24",41.8025535019707,-87.5863048754477
"Information / Battery","5500 S. Hyde Park, Chicago, IL","1/12/24 7:44 PM","1/12/24 7:40 PM","A person standing on the street off-campus was struck by another person who entered a tow truck and fled the scene / CPD case JH114010","CPD","2024-001628","1/12/24",41.7951689252639,-87.5840243461764
"Theft","5815 S. Maryland, Chicago, IL","1/13/24 2:21 PM","1/7/24 to 1/13/24 7:0 PM to 2:20 PM","Two cell phones and a jacket taken from person's property","Open","24-00044","1/13/24",41.7892235237279,-87.6048750409761
"Theft","1346 E. 53rd St., Chicago, IL","1/13/24 4:18 PM","1/13/24 4:28 PM","Suspect took property from the off-campus store without paying / Suspect arrested by UCPD","Arrest","24-00045","1/13/24",41.7995504422237,-87.593062823983
"Information / Theft","1346 E. 53rd St., Chicago, IL","1/13/24 6:59 PM","1/13/24 6:50 PM","Unknown subject took merchandise from the off-campus store without paying / Referred to CPD","Referred","2024-001779","1/13/24",41.7995504422237,-87.593062823983
"Information / Motor Vehicle Theft","1453 E. Hyde Park, Chicago, IL","1/14/24 12:01 AM","1/13/24 11:45 PM","Infiniti parked on the street off-campus was taken by unknown suspect(s) / Referred to CPD","Referred","2024-001820","1/14/24",41.8023788614973,-87.5904284085003
"Battery","5656 S. Maryland, Chicago, IL","1/15/24 1:10 PM","1/14/24 4:00 PM","A person reported they were grabbed by the arm by a staff member","Open","24-00051","1/15/24",41.7921342041933,-87.6050329683429
"Information / Aggravated Battery","822 E. 47th St., Chicago, IL","1/15/24 7:50 PM","1/15/24 7:40 PM","CPD and UCPD officers responded to calls of a person shot / Victim suffered gunshot wounds and was transported to UCMED by CFD EMS / CPD case","CPD","2024-002058","1/15/24",41.8096034524965,-87.6056462748816
"Information / Attempt Robbery","1373 E. 61st St., Chicago, IL","1/16/24 5:38 PM","1/16/24 4:30 PM","A person walking in the alley was confronted by an unknown suspect who struck the victim and attempted to take the victim's cell phone / Suspect fled without taking property Referred to CPD","Referred","2024-002174","1/16/24",41.7841374671904,-87.593345714665
"Theft of Motor Vehicle","1141 E. 56th St., Chicago, IL","1/16/24 8:24 PM","1/16/24 8:05 PM","2021 Kia Forte parked on the street was taken by unknown person","Open","24-00057","1/16/24",41.7931898634959,-87.5979958502223
"Information / Armed Robbery","5425 S. Dorchester, Chicago, IL","1/17/24 7:03 PM","1/17/24 7:00 PM","A person walking on the sidewalk off-campus was approached by an unknown suspect who was armed with a handgun / The suspect took a cell phone and backpack before fleeing on foot / CPD case JH118840","CPD","2024-002334","1/17/24",41.7973070013367,-87.591656922578
"Information / Theft","1554 E. 55th St., Chicago, IL","1/19/24 7:40 AM","1/19/24 7:30 AM","Known suspect took merchandise from the off-campus store without paying / Referred to CPD","Referred","2024-002575","1/19/24",41.7952934540188,-87.588744563006
"Assault","1414 E. 59th St., Chicago, IL","1/19/24 1:57 PM","1/19/24 1:57 PM","Verbal dispute between staff member and delivery person documented","Closed","24-00067","1/19/24",41.7879151799158,-87.5910931385544
"Motor Vehicle Theft","6000 S. Stony Island, Chicago, IL","1/22/24 2:32 PM","1/22/24 8:30 AM to 8:45 AM","A 2024 Infiniti SUV was taken from the parking lot","Open","24-00071","1/22/24",41.7855027626408,-87.5866566063763
"Theft","5706 S. University, Chicago, IL","1/22/24 3:52 PM","1/22/24 3:20 PM to 3:25 PM","Unattended, unsecured purse placed on the floor was taken by unknown person","Open","24-00072","1/22/24",41.7913192139924,-87.5981484468342
"Theft","5706 S. University, Chicago, IL","1/22/24 4:16 PM","1/22/24 1:30 PM to 3:55 PM","Credit cards and ID taken from unattended, unsecured coat left on a chair","Open","24-00074","1/22/24",41.7913192139924,-87.5981484468342
"Assault","1055 E. 55th St., Chicago, IL","1/22/24 10:19 PM","1/22/24 10:19 PM","A subject menaced a UCPD officer, placing the officer in fear of receiving a battery / Suspect arrested and charged with felony assault","Arrest","24-00077","1/22/24",41.7949636968008,-87.6004708582885
"Theft","1554 E. 55th St., Chicago, IL","1/23/24 8:20 AM","1/23/24 8:15 AM","A subject took merchandise from the off-campus store without paying / A UCPD officer located and arrested the subject / Property returned to the merchant","Arrest","24-00078","1/23/24",41.7952934540188,-87.588744563006
"Theft","6031 S. Ellis, Chicago, IL","1/23/24 5:45 PM","1/22/24 1:30 PM to 5:30 PM","Victim placed clothes in dryer in the laundry room / Upon return, owner found a winter coat had been taken","Open","24-00082","1/23/24",41.785352474517,-87.6011017401071
"Theft","1440 E. 57th St., Chicago, IL","1/23/24 7:13 PM","1/23/24 7:13 PM","A subject consumed food in the restaurant, but refused to pay and walked out / Suspect was detained by UCPD officer and again refused to pay / Suspect arrested","Arrest","24-00083","1/23/24",41.7915674547376,-87.5901572404273
"Motor Vehicle Theft","929 E. 57th St., Chicago, IL","1/24/24 12:40 AM","1/23/24 4:00 PM to 10:30 PM","A parked 2020 Hyundai Elantra was taken by unknown person(s)","Open","24-00085","1/24/24",41.7913178640954,-87.6030102950292
"Information / Theft","1554 E. 55th St., Chicago, IL","1/24/24 2:53 PM","1/24/24 2:50 PM","Two unknown subjects took merchandise from the off-campus store without paying / Referred to CPD","Referred","2024-003250","1/24/24",41.7952934540188,-87.588744563006
"Information / Armed Robbery","5550 S. Dorchester, Chicago, IL","1/24/24 5:17 PM","1/24/24 5:15 PM","Victim walking on the sidewalk off-campus was approached by an unknown suspect armed with a handgun / The suspect took victim's property and fled to a waiting vehicle / Referred to CPD","Referred","2024-003266","1/24/24",41.7938926608198,-87.5917308907504
"Information / Robbery","1313 E. 62nd St., Chicago, IL","1/24/24 6:50 PM","1/24/24 6:45 PM","A person walking on the sidewalk off-campus was confronted by two unknown suspects who took a cell phone and backpack from the victim before fleeing on foot / Referred to CPD","Referred","2024-003273","1/24/24",41.7823002084548,-87.5943516036701
"Theft from Motor Vehicle","5848 S. University, Chicago, IL","1/25/24 9:04 AM","1/25/24 7:15 AM to 9:00 AM","Catalytic converter taken from 2004 Cadillac parked on the street","Open","24-00093","1/25/24",41.7900977127803,-87.5981222392632
"Information / Theft","1453 E. 53rd St., Chicago, IL","1/27/24 9:56 PM","1/27/24 9:00 PM","A person reported the theft of their wallet while in an off-campus restaurant / Reported to CPD","CPD","2024-003692","1/27/24",41.7994734475955,-87.5900244907043
"Information / Theft","1346 E. 53rd St., Chicago, IL","1/28/24 2:28 PM","1/28/24 2:25 PM","A known person took merchandise from the off-campus store without paying / Referred to CPD","Referred","2024-003763","1/28/24",41.7995504422237,-87.593062823983
"Information / Theft","1554 E. 55th St., Chicago, IL","1/29/24 3:51 PM","1/29/24 3:45 PM","An unknown subject took merchandise from the off-campus store without paying / Referred to CPD","Referred","2024-003858","1/29/24",41.7952934540188,-87.588744563006
"Information / Theft","1522 E. 59th St., Chicago, IL","1/30/24 9:35 AM","1/30/24 8:00 AM to 9:15 AM","Window smashed and tools taken from van parked on the street off-campus / Referred to CPD","Referred","2024-003951","1/30/24",41.7879406773861,-87.5883629192693
"Battery","5721 S. Maryland, Chicago, IL","1/30/24 12:36 PM","1/30/24 11:00 AM","A patient battered a UCM staff member / Patient to remain in the hospital due to medical condition / Suspect arrested by UCPD subsequent to release from hospital on 2/27/24","Arrest","24-00108","1/30/24",41.7902824931627,-87.6048616854264
"Theft","1131 E. 57th St., Chicago, IL","1/30/24 3:41 PM","1/30/24 12:40 PM to 1:50 PM","Property taken from an unattended, unsecured bookbag placed on the floor next to a table","Open","24-00109","1/30/24",41.791368308047,-87.5983277853494
"Information / Theft","1346 E. 53rd St., Chicago, IL","1/31/24 2:16 PM","1/31/24 12:15 PM","A known suspect entered the off-campus store and took merchandise without paying / Referred to CPD","Referred","2024-004118","1/31/24",41.7995504422237,-87.593062823983
"Theft from Motor Vehicle","1210 E. 57th St., Chicago, IL","2/1/24 10:18 AM","1/31/24 to 2/1/24 6:00 PM to 7:00 AM","Catalytic converter taken from a 2015 Toyota parked on the street","Open","24-00115","2/1/24",41.7915065867862,-87.5960216854206
"Theft","900 E. 57th St., Chicago, IL","2/1/24 5:54 PM","2/1/24 9:50 AM to 4:30 PM","Debit and credit cards taken from wallet in unattended, unsecured purse / Unauthorized use of debit card reported","Open","24-00116","2/1/24",41.7914234555105,-87.6036629189617
"Domestic Battery","6040 S. Harper, Chicago, IL","2/1/24 3:45 PM","2/1/24 2:45 PM","Boyfriend battered girlfriend in off-campus private apartment","Open","24-00117","2/1/24",41.7847261857854,-87.5882167776763
"Theft","900 E. 57th St., Chicago, IL","2/2/24 11:07 AM","2/1/24 10:00 AM to 4:30 PM","Credit card taken from wallet that was inside of unsecured, unattended backpack left in cubicle / Subsequent attempts to use credit card reported","Open","24-00118","2/2/24",41.7914234555105,-87.6036629189617
"Information / Theft","1411 E. 53rd St., Chicago, IL","2/3/24 11:14 PM","2/3/24 11:00 PM","A person left the off-campus restaurant without paying for their meal / Referred to CPD","Referred","2024-004586","2/3/24",41.7994558771732,-87.5913358351232
"Information / Theft","5400 S. Woodlawn, Chicago, IL","2/4/24 1:22 PM","2/4/24 1:20 PM","Suspect observed going through off-campus apartment building mail boxes using a key / Suspect arrested by CPD officers","CPD","2024-004615","2/4/24",41.7979315831926,-87.5966868679761
"Theft","1642 E. 56th St., Chicago, IL","2/4/24 7:40 PM","2/4/24 7:35 PM","Two teens took key and fire extinguisher from the off-campus apartment building / UCPD officers located and detained the suspects / Management declined charges","Ex. Cleared","24-00121","2/4/24",41.7934664541108,-87.5847330678641
"Information / Theft","1554 E. 55th St., Chicago, IL","2/5/24 3:04 PM","2/5/24 3:00 PM","Two unknown suspects took merchandise from the off-campus store without paying / Referred to CPD","Referred","2024-004736","2/5/24",41.7952934540188,-87.588744563006
"Theft from Motor Vehicle","920 E. 61st St., Chicago, IL","2/6/24 9:33 AM","2/5/24 to 2/6/24 1:30 PM to 7:00 AM","Catalytic converter taken from 2017 Nissan parked on the street","Open","24-00128","2/6/24",41.7841424567616,-87.6036546060131
"Aggravated Battery","1750 E. 55th St., Chicago, IL","2/7/24 12:29 AM","2/7/24 12:25 AM","During an altercation a suspect stabbed victim with a knife / Suspect was located and arrested by UCPD officers","Arrest","24-00129","2/7/24",41.7953114536278,-87.581742661247
"Information / Theft","54 E. Ellis, Chicago, IL","2/7/24 2:22 PM","2/6/24 5:00 PM","Package taken from vestibule of off-campus apartment building / Referred to CPD","Referred","2024-005052","2/7/24",42.321620380854,-87.8387364553249
"Information / Theft","1554 E. 55th St., Chicago, IL","2/7/24 5:50 PM","2/7/24 5:45 PM","An unknown subject took merchandise from the off-campus store without paying / Referred to CPD","Referred","2024-005078","2/7/24",41.7952934540188,-87.588744563006
"Motor Vehicle Theft","5631 S. Cottage Grove, Chicago, IL","2/8/24 9:42 AM","2/8/24 3:00 AM to 7:30 AM","A parked and secured 2017 Hyundai Sonata was taken","Open","24-00131","2/8/24",41.7925738762503,-87.6061020136887
"Information / Theft","1346 E. 53rd St., Chicago, IL","2/8/24 6:55 PM","2/8/24 6:50 PM","Two suspects took merchandise from the off-campus store without paying / CPD case","CPD","2024-005199","2/8/24",41.7995504422237,-87.593062823983
"Theft","5823 S. Kenwood, Chicago, IL","2/9/24 7:23 AM","2/8/24 3:45 PM to 5:45 PM","Unattended, unsecured coat taken from bench in gym","Open","24-00134","2/9/24",41.7894809722861,-87.5930924244676
"Theft","5530 S. Ellis, Chicago, IL","2/9/24 11:49 AM","2/9/24 10:10 AM to 10:30 AM","An unsecured, unattended electric scooter taken from the vestibule of the building","Open","24-00135","2/9/24",41.7944435629935,-87.6014480073706
"Theft","5228 S. Lake Park, Chicago, IL","2/10/24 4:44 PM","2/10/24 4:43 PM","An unknown subject took merchandise from the off-campus store without paying","Open","24-00137","2/10/24",41.8005833096061,-87.5874946392223
"Information / Theft","1554 E. 55th St., Chicago, IL","2/10/24 6:02 PM","2/10/24 5:55 PM","Two unknown subjects took merchandise from the off-campus store without paying / Referred to CPD","Referred","2024-005502","2/10/24",41.7952934540188,-87.588744563006
"Battery","6300 S. University, Chicago, IL","2/12/24 1:44 PM","2/12/24 12:10 PM","A group of subjects physically assaulted one victim / Three suspects were arrested by UCPD","Arrest","24-00141","2/12/24",41.7804540799717,-87.5973220357056
"Battery","1362 E. 59th St. , Chicago, IL","2/12/24 4:18 PM","2/12/24 3:40 PM","A person reported they were shoved by an unknown subject / Subsequent to follow up investigation it was revealed that no crime occurred","Unfounded","24-00142","2/12/24",41.7878968800033,-87.592727616182
"Theft from Motor Vehicle","5537 S. University, Chicago, IL","2/13/24 1:20 PM","2/12/24 to 2/13/24 9:15 PM to 8:30 AM","Catalytic converter taken from 2014 Mazda parked on the street","Open","24-00143","2/13/24",41.794377321207,-87.5980703418148
"Information / Theft","1554 E. 55th St., Chicago, IL","2/13/24 2:41 PM","2/13/24 2:35 PM","Unknown subject took merchandise from the off-campus store without paying / Referred to CPD","Referred","2024-005844","2/13/24",41.7952934540188,-87.588744563006
"Information / Theft","1554 E. 55th St., Chicago, IL","2/13/24 4:05 PM","2/13/24 4:00 PM","Unknown subject took merchandise from the off-campus store without paying / Referred to CPD","Referred","2024-005852","2/13/24",41.7952934540188,-87.588744563006
"Information / Theft","1554 E. 55th St., Chicago, IL","2/13/24 5:58 PM","2/13/24 5:55 PM","Two unknown subjects took merchandise from the off-campus store without paying / Referred to CPD","Referred","2024-005861","2/13/24",41.7952934540188,-87.588744563006
"Theft","1131 E. 57th St., Chicago, IL","2/13/24 6:58 PM","2/13/24 5:45 PM to 6:15 PM","Wallet taken from unattended, unsecured bag / Unauthorized use of credit cards reported","Open","24-00147","2/13/24",41.791368308047,-87.5983277853494
"Information / Theft","1369 E. 53rd St., Chicago, IL","2/13/24 6:50 PM","2/13/24 6:20 PM","Wallet taken from unattended, unsecured bag in off-campus cafe / Unauthorized use of credit cards reported / Referred to CPD","Referred","2024-005866","2/13/24",41.7994512447083,-87.5920771998113
"Information / Motor Vehicle Theft","1363 E. 53rd St., Chicago, IL","2/13/24 11:28 PM","2/13/24 11:15 PM to 11:28 PM","Parked and secured 2020 Jeep parked on the street off-campus taken by unknown person(s) / Referred to CPD","Referred","2024-005899","2/13/24",41.7994504275234,-87.5921201021352
"Theft","1131 E. 57th St., Chicago, IL","2/14/24 10:05 AM","2/13/24 to 2/14/24 4:00 PM to 9:45 AM","iPad and Air Pods taken from unattended, unsecured bookbag","Open","24-00148","2/14/24",41.791368308047,-87.5983277853494
"Information / Battery","5100 S. Dorchester, Chicago, IL","2/14/24 8:18 PM","2/14/24 7:45 PM","Three unknown subjects that had confronted victim 3 days prior, struck victim with their fists and fled on foot / Referred to CPD","Referred","2024-006015","2/14/24",41.8023601981562,-87.5919267292473
"Information / Robbery","5428 S. Kimbark, Chicago, IL","2/14/24 9:09 PM","2/14/24 9:05 PM","Person walking on the sidewalk off-campus was confronted by 3 unknown suspects, one of whom forcibly took the victim's coat before fleeing in a waiting vehicle / CPD case JH152764","CPD","2024-006021","2/14/24",41.7971398603506,-87.5950489298856
"Information / Motor Vehicle Theft","5428 S. Kimbark, Chicago, IL","2/14/24 9:34 PM","2/14/24 9:05 PM","A 2008 Kia Soul, parked and secured on the street off-campus was taken by unknown offenders / CPD case","CPD","2024-006025","2/14/24",41.7971398603506,-87.5950489298856
"Information / Theft","1340 E. 47th St., Chicago, IL","2/15/24 9:48 AM","2/14/24 4:00 PM","Wallet taken from unattended, unsecured jacket in off-campus building / Referred to CPD","Referred","2024-006099","2/15/24",41.8097409493303,-87.5927930819307
"Information / Theft","1554 E. 55th St., Chicago, IL","2/15/24 11:02 AM","2/15/24 11:00 AM","A subject took merchandise from the off-campus store without paying / Referred to CPD","Referred","2024-006107","2/15/24",41.7952934540188,-87.588744563006
"Theft","860 E. 59th St., Chicago, IL","2/15/24 12:07 PM","2/15/24 12:00 PM to 12:15 PM","Unattended, unsecured purse taken","Open","24-00152","2/15/24",41.7877752809828,-87.6042600135312
"Assault","5800 S. University, Chicago, IL","2/16/24 1:00 PM","2/16/24 1:00 PM","Subject assaulted a UCPD officer / Prosecution declined / Subject was transported to UCMED for mental evaluation","Ex. Cleared","24-00154","2/16/24",41.7905106725258,-87.5981307714474
"Information / Motor Vehicle Theft","5020 S. Cornell, Chicago, IL","2/18/24 3:45 PM","2/18/24 1:20 PM to 3:30 PM","2010 Honda Taken from parking lot / CPD case JH156929","CPD","2024-006496","2/18/24",41.8041020335116,-87.5865531306531
"Theft","1100 E. 57th St., Chicago, IL","2/18/24 7:49 PM","2/18/24 6:30 PM to 6:40 PM","Wallet taken from unsecured, unattended backpack left in 2nd floor cubicle","Open","24-00163","2/18/24",41.791485370518,-87.5981525434927
"Assault","1100 E. 57th St., Chicago, IL","2/19/24 1:21 PM","2/19/24 1:20 PM","A person making threatening gestures and talking incoherently was detained by UCPD officers / Victims who felt threatened declined prosecution / Suspect transported to UCMED for mental evaluation","Ex. Cleared","24-00164","2/19/24",41.791485370518,-87.5981525434927
"Information / Armed Robbery","5601 S. Kenwood, Chicago, IL","2/19/24 11:02 PM","2/19/24 10:55 PM","Three unknown suspects, armed with handguns, took property from two victims walking off-campus / Suspects fled in waiting white Dodge Charger / CPD case JH158493","CPD","2024-006689","2/19/24",41.7932537599589,-87.5931812352888
"Sexual Assault / Fondling","5700 S. Maryland, Chicago, IL","2/20/24 12:49 PM","2/13/24 time not specified","DSS was notified by a Campus Security Authority that an undisclosed victim reported that she was fondled by a known person / Due to confidentiality of reporting, limited information is available regarding this incident","No Investigation Referred to Title IX Coordinator","CSA Report    24-005","2/20/24",41.7903992008143,-87.6050172122317
"Theft","1554 E. 55th St., Chicago, IL","2/20/24 12:00 PM","2/20/24 12:00 PM","Two suspects took merchandise from the off-campus store without paying / UCPD officer detained both suspects / Management declined prosecution","Ex. Cleared","24-00168","2/20/24",41.7952934540188,-87.588744563006
"Information / Motor Vehicle Theft","5048 S. Cornell, Chicago, IL","2/21/24 12:47 PM","2/21/24 12:47 PM","Two suspects took victim's car from the gas station as victim was pumping gas / CPD officers located and took the suspects into custody","CPD","2024-006900","2/21/24",41.8034644267215,-87.5865379844025
"Information  / Theft","1554 E. 55th St., Chicago, IL","2/21/24 5:53 PM","2/21/24 5:50 PM","Two unknown subjects took merchandise from the off-campus store without paying / Referred to CPD","Referred","2024-006930","2/21/24",41.7952934540188,-87.588744563006
"Domestic Battery","1154 E. 60th St., Chicago, IL","2/22/24 11:23 PM","2/22/24 11:20 PM","During a domestic argument, one domestic partner struck the other / Victim declined prosecution","Ex. Cleared","24-00180","2/22/24",41.7860234560982,-87.5975142697042
"Information / Robbery","5021 S. Dorchester, Chicago, IL","2/23/24 2:12 PM","2/23/24 2:09 PM","Victim walking on the sidewalk off-campus was approached from the rear by an unknown suspect who forcibly took the victim's purse before fleeing to a waiting vehicle / CPD case JH162991","Referred","2024-007152","2/23/24",41.8035192433687,-87.5917941371263
"Information / Theft","1554 E. 55th St., Chicago, IL","2/24/24 3:03 PM","2/24/24 2:55 PM","An unknown person took merchandise from the off-campus store without paying / Referred to CPD","Referred","2024-007337","2/24/24",41.7952934540188,-87.588744563006
"Theft","6031 S. Ellis, Chicago, IL","2/26/24 8:22 PM","2/23/24 to 2/24/24 7:00 PM to 7:00 PM","Rear tire taken from bicycle secured to bike rack","Open","24-00198","2/26/24",41.785352474517,-87.6011017401071
"Information / Motor Vehicle Theft","5341 S. Maryland, Chicago, IL","2/26/24 8:16 PM","2/26/24 5:00 PM to 8:00 PM","2019 Kia Optima parked and secured on the street off-campus was taken by unknown person(s) / Referred to CPD","Referred","2024-007672","2/26/24",41.797756638359,-87.605034200252
"Information / Aggravated Robbery","1526 E. 53rd St., Chicago, IL","2/26/24 10:40 PM","2/26/24 10:30 PM","Two unknown suspects in a white Chrysler, one implying a weapon, (no weapon seen) took a pair of shoes from a person standing on the sidewalk off-campus / CPD case JH167105","CPD","2024-007690","2/26/24",41.7996105973484,-87.588342932191
"Information / Robbery","5200 S. Lake Park, Chicago, IL","2/28/24 3:28 AM","2/28/24 3:20 AM","Three unknown suspects used force to take victim's wallet and phone on the sidewalk off-campus / Victim declined medical assistance / CPD case","CPD","2024-007828","2/28/24",41.8009676852928,-87.5875606099934
"Battery","5835 S. Cottage Grove, Chicago, IL","2/28/24 6:57 AM","2/28/24 6:56 AM","During the course of a verbal disagreement, suspect hit victim with his fist / UCPD arrested suspect","Arrest","24-00204","2/28/24",41.7888649304312,-87.606027316054
"Motor Vehicle Theft","6000 S. Drexel, Chicago, IL","2/29/24 11:15 AM","2/29/24 9:35 AM","A parked and secured 2021 Infinity was taken from the lot by unknown subject(s)","Open","24-00209","2/29/24",41.785197079611,-87.60449053881
"Information / Theft from Motor Vehicle","5324 S. Cottage Grove, Chicago, IL","2/29/24 2:17 PM","2/29/24 4:00 AM to 1:30 PM","Catalytic converter taken from a 2004 Buick parked on the street off-campus / Referred to CPD","Referred","2024-008048","2/29/24",41.7981380370659,-87.6063837926976
"Information / Armed Robbery","1400 E. 47th St., Chicago, IL","2/29/24 9:43 PM","2/29/24 9:30 PM","An unknown suspect entered the off-campus store, displayed a handgun, and demanded money from the cash register / The suspect took cash and fled on foot / CPD case","CPD","2024-008100","2/29/24",41.809747451735,-87.5923543985006
"Theft","1554 E. 55th St., Chicago, IL","3/2/24 11:53 AM","3/2/24 11:53 AM","A subject took merchandise from the off-campus store without paying / Suspect detained by UCPD officer / Management declined prosecution","Ex. Cleared","24-00213","3/2/24",41.7952934540188,-87.588744563006
"Battery","5730 S. Drexel, Chicago, IL","3/3/24 11:03 AM","3/3/24 11:02 AM","A visitor struck a UCM staff member and was arrested by UCPD officers","Arrest","24-00217","3/3/24",41.7912384316533,-87.6038150595067
"Information / Theft","1554 E. 55th St., Chicago, IL","3/3/24 11:49 AM","3/3/24 11:45 AM","Unknown subject took merchandise from the off-campus store without paying / Referred to CPD","Referred","2024-008378","3/3/24",41.7952934540188,-87.588744563006
"Battery","5656 S. Maryland, Chicago, IL","3/3/24 5:46 PM","3/3/24 2:00 PM","A combative patient spit on a UCM staff member / Victim declined prosecution","Ex. Cleared","24-00218","3/3/24",41.7921342041933,-87.6050329683429
